recommender,precision@5,recall@5,hit_rate@5,ndcg@5,precision@10,recall@10,hit_rate@10,ndcg@10,run_id,run_timestamp,run_label,candidate_mode,negatives_per_user,max_users,users_evaluated,positive_threshold,k_values,include_neumf,avg_candidates_per_user,include_hybrid,hybrid_weights,diversity_weight
popularity_bayes,0.398,0.2478288308481505,0.78,0.4575090960361295,0.33,0.3812995429344652,0.85,0.4731485106029583,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
random,0.108,0.0592324875667491,0.4,0.1209511737214825,0.104,0.1195646046013051,0.62,0.1358584231882453,topk_ranking_neumf_phase4_corrected_sampled_100_negatives_20260604_193048,2026-06-04 19:30:48,ranking_neumf_phase4_corrected,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
genre_personalized_popularity,0.414,0.2833446455166182,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851,topk_sampled_100_negatives_20260604_194449,2026-06-04 19:44:49,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
hybrid_ranker,0.478,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796,topk_sampled_100_negatives_20260604_194449,2026-06-04 19:44:49,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
item_item_knn,0.448,0.3171149665992909,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627,topk_sampled_100_negatives_20260604_194449,2026-06-04 19:44:49,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_ranking_model,0.502,0.3147348336974956,0.87,0.5627599421823236,0.416,0.4982633904494791,0.93,0.5862810842921283,topk_sampled_100_negatives_20260604_194449,2026-06-04 19:44:49,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_rating_model,0.194,0.1129217981263698,0.56,0.2058992618629403,0.195,0.2095505367838852,0.76,0.2406230426328334,topk_sampled_100_negatives_20260604_194449,2026-06-04 19:44:49,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
popularity_bayes,0.398,0.2478288308481505,0.78,0.4575090960361295,0.33,0.3812995429344652,0.85,0.4731485106029583,topk_sampled_100_negatives_20260604_194449,2026-06-04 19:44:49,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
random,0.108,0.0592324875667491,0.4,0.1209511737214825,0.104,0.1195646046013051,0.62,0.1358584231882453,topk_sampled_100_negatives_20260604_194449,2026-06-04 19:44:49,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
genre_personalized_popularity,0.414,0.2833446455166182,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851,topk_final_mlflow_logged_sampled_100_negatives_20260604_204741,2026-06-04 20:47:41,final_mlflow_logged,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
hybrid_ranker,0.478,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796,topk_final_mlflow_logged_sampled_100_negatives_20260604_204741,2026-06-04 20:47:41,final_mlflow_logged,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
item_item_knn,0.448,0.3171149665992909,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627,topk_final_mlflow_logged_sampled_100_negatives_20260604_204741,2026-06-04 20:47:41,final_mlflow_logged,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_ranking_model,0.486,0.301475247910046,0.87,0.5370049875242592,0.415,0.4846383965578462,0.91,0.5686268805845579,topk_final_mlflow_logged_sampled_100_negatives_20260604_204741,2026-06-04 20:47:41,final_mlflow_logged,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_rating_model,0.194,0.1129217981263698,0.56,0.2058992618629403,0.195,0.2095505367838852,0.76,0.2406230426328334,topk_final_mlflow_logged_sampled_100_negatives_20260604_204741,2026-06-04 20:47:41,final_mlflow_logged,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
popularity_bayes,0.398,0.2478288308481505,0.78,0.4575090960361295,0.33,0.3812995429344652,0.85,0.4731485106029583,topk_final_mlflow_logged_sampled_100_negatives_20260604_204741,2026-06-04 20:47:41,final_mlflow_logged,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
random,0.108,0.0592324875667491,0.4,0.1209511737214825,0.104,0.1195646046013051,0.62,0.1358584231882453,topk_final_mlflow_logged_sampled_100_negatives_20260604_204741,2026-06-04 20:47:41,final_mlflow_logged,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
genre_personalized_popularity,0.414,0.28334464551661825,0.86,0.4834282854670765,0.312,0.3726431075734976,0.88,0.4689496324768851,topk_sampled_100_negatives_20260609_174502,2026-06-09 17:45:02,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
hybrid_ranker,0.47800000000000004,0.3386047334639153,0.9,0.5537869942490345,0.397,0.5040983963360965,0.95,0.5842581740909796,topk_sampled_100_negatives_20260609_174502,2026-06-09 17:45:02,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
item_item_knn,0.44800000000000006,0.31711496659929095,0.84,0.5015959115805293,0.382,0.4832453354180704,0.94,0.5408615318412627,topk_sampled_100_negatives_20260609_174502,2026-06-09 17:45:02,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_ranking_model,0.486,0.30147524791004604,0.87,0.5370049875242592,0.415,0.4846383965578462,0.91,0.5686268805845579,topk_sampled_100_negatives_20260609_174502,2026-06-09 17:45:02,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
neumf_rating_model,0.182,0.11212611187431247,0.53,0.20467225906393538,0.187,0.2012091573315958,0.71,0.2389336760908255,topk_sampled_100_negatives_20260609_174502,2026-06-09 17:45:02,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
popularity_bayes,0.398,0.24782883084815052,0.78,0.45750909603612955,0.33,0.3812995429344652,0.85,0.47314851060295837,topk_sampled_100_negatives_20260609_174502,2026-06-09 17:45:02,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
random,0.10800000000000001,0.05923248756674911,0.4,0.12095117372148252,0.10400000000000001,0.11956460460130514,0.62,0.13585842318824537,topk_sampled_100_negatives_20260609_174502,2026-06-09 17:45:02,,sampled_100_negatives,100,100,100,4.0,5|10,True,115.16,True,item_knn:0.50|popularity:0.25|genre:0.25,0.0
