target,rank,feature,mean_abs_shap
hybrid_score,42,genre::Animation,0.00031553073303810847
hybrid_score,43,genre::Sci-Fi,0.00029564761902950014
hybrid_score,44,genre::War,0.0002761603532783709
hybrid_score,45,user_pref::Film-Noir,0.00023779692042642323
hybrid_score,46,movie_tag_count,0.0002326058273370157
hybrid_score,47,user_pref::Western,0.00022776160339451845
hybrid_score,48,tag::dark comedy,0.00017654587883862683
hybrid_score,49,genre::Musical,0.00017352174835898006
hybrid_score,50,movie_unique_tag_count,0.00016973596677288865
hybrid_score,51,genre::Mystery,0.00014785939648502292
hybrid_score,52,tag::psychology,0.0001433600884933761
hybrid_score,53,genre::IMAX,9.052754738812618e-05
hybrid_score,54,tag::thought-provoking,8.869496054402671e-05
hybrid_score,55,genre::Western,6.969306288502803e-05
hybrid_score,56,tag::in netflix queue,3.902627737718624e-05
hybrid_score,57,tag::religion,2.4715897664791593e-05
hybrid_score,58,tag::suspense,2.4029185702384866e-05
hybrid_score,59,tag::surreal,1.5030919973797261e-05
hybrid_score,60,tag::action,1.2529000993530572e-05
hybrid_score,61,tag::sci-fi,9.687637435827121e-06
hybrid_score,62,tag::mental illness,9.683744774474596e-06
hybrid_score,63,tag::disney,9.5167960117675e-06
hybrid_score,64,tag::space,8.572286165831432e-06
hybrid_score,65,tag::dreamlike,7.98745418332067e-06
hybrid_score,66,tag::time travel,6.219339820930039e-06
hybrid_score,67,tag::atmospheric,5.869787804030649e-06
hybrid_score,68,tag::twist ending,4.607798848124691e-06
hybrid_score,69,genre::Film-Noir,4.043146760236257e-06
hybrid_score,70,tag::dark,3.385283827764804e-06
hybrid_score,71,tag::quirky,2.9958151448720798e-06
hybrid_score,72,tag::crime,1.9539222765862137e-06
hybrid_score,73,tag::comedy,1.7354885341751855e-06
hybrid_score,74,tag::mindfuck,1.110680260888463e-06
hybrid_score,75,tag::politics,8.112291724409392e-07
hybrid_score,76,tag::superhero,7.51168581533698e-07
hybrid_score,77,tag::black comedy,5.126009672685669e-07
hybrid_score,78,tag::high school,0.0
hybrid_score,79,tag::music,0.0
hybrid_score,80,tag::visually appealing,0.0
hybrid_score,81,tag::aliens,0.0
hybrid_score,82,tag::funny,0.0
hybrid_score,83,genre::(no genres listed),0.0
hybrid_score,84,user_pref::(no genres listed),0.0
hybrid_score,85,tag::shakespeare,0.0
